Cluster Index	Z	x	y	z	
5	7.81	-52	-16	-2
5	7.4	-58	-10	-6
5	7.31	-40	-32	8
5	7.18	-48	-20	0
5	6.77	-44	-28	6
5	6.76	-62	-22	2
4	7.65	66	-22	2
4	7.04	64	-22	-8
4	7.02	60	-24	0
4	6.99	52	4	-16
4	6.85	62	-4	-10
4	6.77	64	-12	-6
3	5.33	28	-66	-28
3	4.68	-32	-68	-30
3	4.43	24	-70	-50
3	4.31	22	-78	-46
3	4.27	-26	-66	-28
3	4.19	-22	-80	-44
2	3.81	-2	26	52
2	3.66	6	0	60
2	3.58	4	22	40
2	3.36	-6	2	54
2	3.26	-2	34	48
2	3.24	-6	34	34
1	4.21	-50	-48	46
1	3.26	-48	-52	40
1	2.95	-56	-60	48
