Cluster Index	Z	x	y	z	
5	6.65	-50	-18	0
5	6.55	-56	-16	-2
5	6.34	-46	-30	4
5	6.19	-52	-32	6
5	5.88	-68	-28	4
5	5.86	-48	2	-10
4	6.24	60	14	-16
4	6.21	56	-26	-6
4	6.18	64	-20	-4
4	6.15	58	-16	-8
4	6.06	58	-20	-6
4	6.06	58	0	-10
3	4.28	22	-78	-52
3	4.2	24	-78	-48
3	4.02	-16	-76	-52
3	3.69	-26	-64	-52
3	3.51	-22	-66	-54
3	3.45	26	-72	-54
2	4.82	8	4	58
2	3.92	6	-2	60
2	3.64	4	-12	66
2	3.49	-4	-2	58
2	3.28	4	12	48
2	3.08	8	4	48
1	4.36	60	-32	46
1	4.15	54	-42	50
1	3.75	50	-44	40
1	3.74	54	-32	52
1	3.58	52	-44	46
1	3.55	56	-28	56
