Cluster Index	Z	x	y	z	
3	7.92	-52	-16	-2
3	7.21	66	-22	2
3	7.04	-38	-32	8
3	7.03	64	-14	-6
3	7	60	-24	0
3	6.77	64	-22	-8
2	5.09	-50	-52	52
2	3.99	-34	-52	36
2	3.89	-34	-66	62
2	3.48	-48	-52	40
2	3.34	-42	-44	56
2	3.33	-32	-64	38
1	3.76	42	-64	56
1	3.69	52	-48	40
1	3.43	50	-44	58
1	3.14	42	-50	46
1	3.12	54	-34	52
1	2.98	36	-48	38
