sub-01,4.601756 
sub-02,-18.527163 
sub-03,-24.658008 
sub-04,26.172823 
sub-05,-0.029503 
sub-06,2.997738 
sub-07,3.265012 
sub-08,2.074375 
sub-09,-6.616263 
sub-10,-13.612226 
sub-11,5.443996 
sub-12,-3.289964 
sub-13,2.550644 
sub-14,3.704207 
sub-15,-10.283121 
sub-16,-1.656614 
sub-17,-4.657899 
sub-18,-7.615818 
sub-19,-11.963148 
sub-20,1.458236 
sub-21,-7.757767 
sub-22,-13.173129 
sub-23,-10.577801 
sub-24,4.082396 
sub-25,-3.335256 
sub-26,-6.011663 
sub-27,9.177063 
sub-28,-4.569151 
sub-29,-3.910036 
sub-30,1.864987 
sub-32,-20.635596 
sub-33,8.225685 
sub-34,-27.472739 
sub-36,-12.210835 
sub-37,2.073050 
sub-38,2.295260 
sub-40,-0.802158 
sub-42,0.990921 
sub-43,1.220783 
sub-44,0.887867 
sub-45,3.693335 
sub-46,2.465574 
sub-47,-13.371574 
sub-48,-4.526355 
sub-49,3.153270 
sub-50,-9.973975 
sub-53,11.780803 
sub-54,-23.496636 
sub-55,7.463780 
sub-56,-11.724020 
sub-57,-7.929033 
sub-58,2.859450 
sub-59,-4.026711 
sub-60,-2.232537 
sub-61,8.328578 
sub-62,3.225190 
sub-63,-0.419361 
sub-64,8.079350 
sub-65,-8.285015 
sub-66,-5.810506 
sub-67,7.645776 
sub-68,24.849860 
sub-69,-1.282500 
sub-70,-3.582039 
sub-71,8.401390 
sub-72,1.567865 
sub-73,-11.355171 
sub-74,1.265247 
sub-75,-11.107974 
sub-76,-7.549476 
sub-77,12.408670 
