sub-01,55.344290 
sub-02,20.900204 
sub-03,16.198491 
sub-04,80.390603 
sub-05,37.103861 
sub-06,67.566881 
sub-07,46.311137 
sub-08,40.075313 
sub-09,47.439698 
sub-10,22.462278 
sub-11,41.915963 
sub-12,51.662517 
sub-13,60.012878 
sub-14,18.929799 
sub-15,43.928510 
sub-16,54.000208 
sub-17,33.082050 
sub-18,48.179794 
sub-19,49.355034 
sub-20,31.928812 
sub-21,25.965189 
sub-22,37.805145 
sub-23,46.605295 
sub-24,36.764465 
sub-25,28.199628 
sub-26,24.419385 
sub-27,50.544504 
sub-28,46.265722 
sub-29,41.428690 
sub-30,34.593056 
sub-31,NA
sub-32,36.624420 
sub-33,25.859362 
sub-34,3.502044 
sub-35,NA
sub-36,33.277562 
sub-37,32.239081 
sub-38,26.187220 
sub-39,NA
sub-40,21.208640 
sub-41,NA
sub-42,47.453858 
sub-43,60.849543 
sub-44,10.988715 
sub-45,30.149161 
sub-46,35.317920 
sub-47,14.281849 
sub-48,37.890280 
sub-49,45.764640 
sub-50,23.369544 
sub-51,NA
sub-52,NA
sub-53,37.467938 
sub-54,18.669178 
sub-55,36.932033 
sub-56,19.915369 
sub-57,34.454023 
sub-58,47.075459 
sub-59,25.620832 
sub-60,42.570770 
sub-61,47.565623 
sub-62,26.898120 
sub-63,46.747561 
sub-64,52.023511 
sub-65,34.346970 
sub-66,22.067700 
sub-67,33.284628 
sub-68,48.703488 
sub-69,29.388535 
sub-70,41.167143 
sub-71,52.962510 
sub-72,57.097798 
sub-73,1.629321 
sub-74,29.013832 
sub-75,42.202500 
sub-76,41.783979 
sub-77,51.256029 
