Cluster Index	Z	x	y	z	
3	4.14	-18	-62	-18
3	3.7	-22	-80	-36
3	3.69	-26	-58	-24
3	3.65	-30	-62	-22
3	3.59	-26	-62	-22
3	3.42	-8	-68	-16
2	4.05	20	-56	-24
2	3.98	34	-58	-20
2	3.66	18	-66	-14
2	3.16	12	-58	-14
2	2.7	10	-54	-8
2	2.67	18	-52	-10
1	7.18	-72	-20	8
1	5.19	-66	-2	-6
1	5.05	-58	-2	-6
1	4.71	-72	-26	14
1	4.69	-60	-26	6
1	4.51	-50	-10	-4
